original_order,Image_name,prop_ungerminated,prop_chlorotic,,number_seeds,ungerminated_seeds,chlorotic_seedlings,anything_else_interesting,date
1,1-A-0025.jpg,0.066666667,0,,30,2,0,,12/3/2020 18:18:33
2,1-A-0026.jpg,0.266666667,0,,30,8,0,,12/3/2020 18:20:35
3,1-A-0027.jpg,0.033333333,0,,30,1,0,,12/3/2020 18:22:02
4,1-A-0028.jpg,0.333333333,0.066666667,,30,10,2,,12/7/2020 15:56:15
5,1-A-0029.jpg,0.033333333,0,,30,1,0,,12/7/2020 15:56:48
6,1-A-0030.jpg,0.133333333,0,,30,4,0,,12/7/2020 15:57:10
7,1-A-0031.jpg,0.068965517,0,,29,2,0,,12/7/2020 15:57:52
8,1-A-0032.jpg,0.166666667,0,,30,5,0,shoot removed on one?,12/7/2020 15:58:17
9,1-A-0033.jpg,0.137931034,0.068965517,,29,4,2,"one corkscrew shoot, not sure on these chlorotic ones",12/7/2020 15:59:07
10,1-A-0034.jpg,0,0,,30,0,0,,12/7/2020 15:59:55
11,1-A-0035.jpg,0.066666667,0,,30,2,0,,12/7/2020 16:00:23
12,1-A-0036.jpg,0.066666667,0,,30,2,0,,12/7/2020 16:00:46
13,1-A-0037.jpg,0.103448276,0,,29,3,0,,12/7/2020 16:01:12
14,1-A-0038.jpg,0.3,0,,30,9,0,,12/7/2020 16:01:41
15,1-A-0039.jpg,0.166666667,0,,30,5,0,,12/7/2020 16:02:06
16,1-A-0040.jpg,0.1,0.2,,30,3,6,,12/7/2020 16:02:37
17,1-A-0041.jpg,0.033333333,0.166666667,,30,1,5,"red shoot variationn, moldy",12/7/2020 16:03:09
18,1-A-0042.jpg,0.133333333,0,,30,4,0,spiral,12/7/2020 16:03:48
19,1-A-0043.jpg,0.3,0,,10,3,0,,12/7/2020 16:04:08
20,1-A-0044.jpg,0.266666667,0.033333333,,30,8,1,unsure on chlorotic shoot,12/7/2020 16:04:37
21,1-A-0045.jpg,0.233333333,0.366666667,,30,7,11,,12/7/2020 16:05:16
22,1-A-0046.jpg,0.033333333,0,,30,1,0,,12/7/2020 16:05:40
23,1-A-0047.jpg,0.033333333,0,,30,1,0,,12/7/2020 16:06:06
24,1-A-0048.jpg,0.04,0.04,,25,1,1,unsure on chlorotic small shooot,12/7/2020 16:06:25
25,1-A-0049.jpg,0,0.137931034,,29,0,4,,12/7/2020 16:07:28
26,1-A-0050.jpg,0,0,,29,0,0,,12/7/2020 16:07:57
27,1-A-0051.jpg,0.166666667,0,,30,5,0,,12/7/2020 16:08:18
28,1-A-0052.jpg,0.066666667,0,,30,2,0,,12/7/2020 16:08:39
29,1-A-0053.jpg,0.173913043,0.043478261,,23,4,1,unsure on chlorotic shoot,12/7/2020 16:09:05
30,1-A-0054.jpg,0.08,0.04,,25,2,1,unsure on chlorotic shoot,12/7/2020 16:09:33
31,1-A-0055.jpg,0.166666667,0,,30,5,0,,12/7/2020 16:10:01
32,1-A-0056.jpg,0.1,0,,30,3,0,some seeds growing root without shoot,12/7/2020 16:10:35
33,1-A-0057.jpg,0.1,0,,30,3,0,,12/7/2020 16:11:11
34,1-A-0058.jpg,0,0,,30,0,0,,12/7/2020 16:11:36
35,1-A-0063.jpg,0.066666667,0,,30,2,0,,12/7/2020 16:12:08
36,1-A-0064.jpg,0.133333333,0,,30,4,0,,12/7/2020 16:12:31
37,1-A-0065.jpg,0.1,0,,30,3,0,,12/7/2020 16:13:01
38,1-A-0066.jpg,0.142857143,0,,28,4,0,spiral,12/7/2020 16:13:26
39,1-A-0067.jpg,0,0,,29,0,0,,12/7/2020 16:13:59
40,1-A-0068.jpg,0.133333333,0,,30,4,0,"two growing straight down, gravitropism?",12/7/2020 16:14:21
41,1-A-0069.jpg,0.566666667,0,,30,17,0,,12/7/2020 16:15:14
42,1-A-0071.jpg,0,0,,4,0,0,,12/7/2020 16:15:39
43,1-A-0072.jpg,0.272727273,0,,11,3,0,,12/7/2020 16:15:52
44,1-A-0073.jpg,0.153846154,0,,13,2,0,,12/7/2020 16:16:08
45,1-A-0074.jpg,0.166666667,0,,30,5,0,,12/7/2020 16:16:35
46,1-A-0075.jpg,0.033333333,0.033333333,,30,1,1,,12/7/2020 16:17:04
47,1-A-0076.jpg,0.033333333,0,,30,1,0,,12/7/2020 16:17:31
48,1-A-0077.jpg,0.133333333,0,,30,4,0,"one growing straight down, gravitropsim?",12/7/2020 16:17:59
49,1-A-0078.jpg,0.066666667,0.1,,30,2,3,,12/7/2020 16:18:40
50,1-A-0079.jpg,0.2,0,,30,6,0,,12/7/2020 16:19:08
51,1-A-0080.jpg,0.2,0,,30,6,0,one spiraly,12/12/2020 3:04:57
52,1-A-0081.jpg,0.2,0,,30,6,0,four black shoots,12/12/2020 3:05:28
53,1-A-0082.jpg,0.1,0,,30,3,0,,12/12/2020 3:06:06
54,1-A-0083.jpg,0,0,,25,0,0,,12/12/2020 3:06:25
55,1-A-0084.jpg,0.344827586,0,,29,10,0,,12/12/2020 3:07:01
56,1-A-0085.jpg,0.2,0,,30,6,0,,12/12/2020 3:07:32
57,1-A-0086.jpg,0,0,,29,0,0,,12/12/2020 3:08:09
58,1-A-0087.jpg,0.1,0,,30,3,0,,12/12/2020 3:08:37
59,1-A-0089.jpg,0.5,0,,10,5,0,,12/12/2020 3:08:53
60,1-A-0090.jpg,0.3,0,,30,9,0,,12/12/2020 3:09:17
61,1-A-0091.jpg,0.25,0,,8,2,0,,12/12/2020 3:09:29
62,1-A-0092.jpg,0.25,0,,28,7,0,two yellowish shoots but looks rotten,12/12/2020 3:09:59
63,1-A-0093.jpg,0.3,0.033333333,,30,9,1,,12/12/2020 3:10:48
64,1-A-0094.jpg,0.3,0.1,,30,9,3,chlorotic is hard since two shoots are tiny!,12/12/2020 3:11:13
65,1-A-0095.jpg,0.333333333,0,,12,4,0,lightish yellow but not quite chlorotic?,12/12/2020 3:11:47
66,1-A-0097.jpg,0.25,0,,16,4,0,,12/12/2020 3:12:17
67,1-A-0098.jpg,0.2,0,,5,1,0,final shoot could be chlorotic??,12/12/2020 3:12:32
68,1-A-0099.jpg,0,0,,30,0,0,,12/12/2020 3:13:01
69,1-A-0100.jpg,0.133333333,0,,30,4,0,,12/12/2020 3:13:32
70,1-A-0101.jpg,0.233333333,0,,30,7,0,two spiraly,12/12/2020 3:13:56
71,1-A-0102.jpg,0.444444444,0,,18,8,0,,12/12/2020 3:14:23
72,1-A-0103.jpg,0.233333333,0,,30,7,0,two spiraly,12/12/2020 3:14:54
73,1-A-0104.jpg,0.266666667,0,,30,8,0,,12/12/2020 3:15:27
74,1-A-0105.jpg,0,0,,3,0,0,,12/12/2020 3:16:05
75,1-A-0106.jpg,0.066666667,0.2,,30,2,6,two spiraly,12/12/2020 3:16:25
76,1-A-0107.jpg,0.344827586,0.103448276,,29,10,3,,12/12/2020 3:17:02
77,1-A-0108.jpg,0.105263158,0,,19,2,0,,12/12/2020 3:17:27
78,1-A-0110.jpg,0.033333333,0.166666667,,30,1,5,some short shoots could be chlorotic,12/12/2020 3:17:56
79,1-A-0111.jpg,0.1,0,,30,3,0,,12/12/2020 3:18:39
80,1-A-0112.jpg,0.2,0.133333333,,30,6,4,,12/12/2020 3:19:05
81,1-A-0113.jpg,0.066666667,0,,30,2,0,,12/12/2020 3:19:46
82,1-A-0114.jpg,0,0,,17,0,0,,12/12/2020 3:20:01
83,1-A-0115.jpg,0.068965517,0,,29,2,0,,12/12/2020 3:20:26
84,1-A-0116.jpg,0.038461538,0,,26,1,0,hard to see ungerm in top middle,12/12/2020 3:20:48
85,1-A-0117.jpg,0.166666667,0.133333333,,30,5,4,,12/12/2020 3:21:20
86,1-A-0118.jpg,0.47826087,0.130434783,,23,11,3,,12/12/2020 3:21:43
87,1-A-0119.jpg,0.419354839,0,,31,13,0,,12/12/2020 3:22:20
88,1-A-0120.jpg,0.333333333,0,,12,4,0,,12/12/2020 3:22:42
89,1-A-0121.jpg,0.473684211,0,,19,9,0,one gravitropism,12/12/2020 3:22:58
90,1-A-0122.jpg,0.2,0.133333333,,30,6,4,,12/12/2020 3:23:28
91,1-A-0123.jpg,0.222222222,0,,9,2,0,,12/12/2020 3:23:49
92,1-A-0125.jpg,0.034482759,0,,29,1,0,,12/12/2020 3:24:16
93,1-A-0126.jpg,0.2,0,,30,6,0,,12/12/2020 3:24:37
94,1-A-0127.jpg,0.166666667,0,,30,5,0,,12/12/2020 3:24:57
