"","inbred_name_vector","region","bp_count","bp_proportion","insertion_count","insertion_proportion","insertions_per_1kb"
"1",NA,NA,NA,NA,NA,NA,NA
"2","33-16","Promoter",72627588,0.034,4,0.068,5.50754900465647e-05
"3","33-16","UTR5",8484867,0.004,4,0.068,0.000471427542706326
"4","33-16","Exon",40283128,0.019,0,0,0
"5","33-16","Intron",107881537,0.051,8,0.136,7.41554136367189e-05
"6","33-16","UTR3",10917611,0.005,0,0,0
"7","33-16","Intergenic",1895480830,0.889,43,0.729,2.26855367352884e-05
"8","33-16","Not assigned",NA,NA,19,0.322,NA
"9","38-11Goodman-Buckler","Promoter",72627588,0.034,25,0.139,0.000344221812791029
"10","38-11Goodman-Buckler","UTR5",8484867,0.004,9,0.05,0.00106071197108923
"11","38-11Goodman-Buckler","Exon",40283128,0.019,4,0.022,9.92971548783401e-05
"12","38-11Goodman-Buckler","Intron",107881537,0.051,16,0.089,0.000148310827273438
"13","38-11Goodman-Buckler","UTR3",10917611,0.005,0,0,0
"14","38-11Goodman-Buckler","Intergenic",1895480830,0.889,126,0.7,6.64738983406126e-05
"15","38-11Goodman-Buckler","Not assigned",NA,NA,88,0.489,NA
"16","4226","Promoter",72627588,0.034,15,0.19,0.000206533087674618
"17","4226","UTR5",8484867,0.004,2,0.025,0.000235713771353163
"18","4226","Exon",40283128,0.019,1,0.013,2.4824288719585e-05
"19","4226","Intron",107881537,0.051,9,0.114,8.34248403413088e-05
"20","4226","UTR3",10917611,0.005,0,0,0
"21","4226","Intergenic",1895480830,0.889,52,0.658,2.74336723310465e-05
"22","4226","Not assigned",NA,NA,44,0.557,NA
"23","4722","Promoter",72627588,0.034,10,0.1,0.000137688725116412
"24","4722","UTR5",8484867,0.004,12,0.12,0.00141428262811898
"25","4722","Exon",40283128,0.019,2,0.02,4.96485774391701e-05
"26","4722","Intron",107881537,0.051,6,0.06,5.56165602275392e-05
"27","4722","UTR3",10917611,0.005,0,0,0
"28","4722","Intergenic",1895480830,0.889,70,0.7,3.69299435225626e-05
"29","4722","Not assigned",NA,NA,37,0.37,NA
"30","A188","Promoter",72627588,0.034,7,0.109,9.63821075814882e-05
"31","A188","UTR5",8484867,0.004,3,0.047,0.000353570657029745
"32","A188","Exon",40283128,0.019,0,0,0
"33","A188","Intron",107881537,0.051,5,0.078,4.63471335229493e-05
"34","A188","UTR3",10917611,0.005,0,0,0
