Trait,Marker,Chr,Pos,marker_F,p,marker_Rsq,add_F,add_p,dom_F,dom_p,marker_df,marker_MS,error_df,error_MS,model_df,model_MS,minorObs
logit_germ,Zm00001d027242,1,215108,0.04721,0.82802,2.83E-05,0.04721,0.82802,NaN,NaN,1,0.07259,1668,1.53755,1,0.07259,14
logit_germ,Zm00001d027266,1,1027553,0.28037,0.59653,1.68E-04,0.28037,0.59653,NaN,NaN,1,0.43102,1668,1.53734,1,0.43102,5
logit_germ,Zm00001d027267,1,1034733,0.00416,0.94858,2.49E-06,0.00416,0.94858,NaN,NaN,1,0.0064,1668,1.53759,1,0.0064,4
logit_germ,Zm00001d027268,1,1036531,0.05704,0.81126,3.42E-05,0.05704,0.81126,NaN,NaN,1,0.08771,1668,1.53754,1,0.08771,4
logit_germ,Zm00001d027276,1,1233576,0.0281,0.8669,1.68E-05,0.0281,0.8669,NaN,NaN,1,0.04321,1668,1.53757,1,0.04321,16
logit_germ,Zm00001d027277,1,1235889,1.63055,0.2018,9.77E-04,1.63055,0.2018,NaN,NaN,1,2.50469,1668,1.5361,1,2.50469,12
logit_germ,Zm00001d027288,1,1842734,3.28557,0.07007,0.00197,3.28557,0.07007,NaN,NaN,1,5.04195,1668,1.53457,1,5.04195,5
logit_germ,Zm00001d027293,1,2034022,1.52875,0.21647,9.16E-04,1.52875,0.21647,NaN,NaN,1,2.34845,1668,1.53619,1,2.34845,4
logit_germ,Zm00001d027295,1,2105777,1.37592,0.24096,8.24E-04,1.37592,0.24096,NaN,NaN,1,2.11387,1668,1.53633,1,2.11387,4
logit_germ,Zm00001d027296,1,2113284,0.02174,0.8828,1.30E-05,0.02174,0.8828,NaN,NaN,1,0.03343,1668,1.53758,1,0.03343,5
logit_germ,Zm00001d027298,1,2156137,1.49361,0.22183,8.95E-04,1.49361,0.22183,NaN,NaN,1,2.29451,1668,1.53622,1,2.29451,8
logit_germ,Zm00001d027304,1,2298136,0.00739,0.93151,4.43E-06,0.00739,0.93151,NaN,NaN,1,0.01136,1668,1.53759,1,0.01136,6
logit_germ,Zm00001d027307,1,2523976,0.99381,0.31896,5.95E-04,0.99381,0.31896,NaN,NaN,1,1.52717,1668,1.53668,1,1.52717,6
logit_germ,Zm00001d027309,1,2632610,0.8531,0.35581,5.11E-04,0.8531,0.35581,NaN,NaN,1,1.31105,1668,1.53681,1,1.31105,10
logit_germ,Zm00001d027312,1,2777149,4.4381,0.03529,0.00265,4.4381,0.03529,NaN,NaN,1,6.8059,1668,1.53352,1,6.8059,4
logit_germ,Zm00001d027314,1,2809904,0.82609,0.36354,4.95E-04,0.82609,0.36354,NaN,NaN,1,1.26956,1668,1.53684,1,1.26956,5
logit_germ,Zm00001d027317,1,2820542,0.01326,0.90835,7.95E-06,0.01326,0.90835,NaN,NaN,1,0.02038,1668,1.53758,1,0.02038,11
logit_germ,Zm00001d027318,1,2829628,1.35904,0.24387,8.14E-04,1.35904,0.24387,NaN,NaN,1,2.08795,1668,1.53635,1,2.08795,4
logit_germ,Zm00001d027320,1,2886855,1.69985,0.19249,0.00102,1.69985,0.19249,NaN,NaN,1,2.61102,1668,1.53603,1,2.61102,15
logit_germ,Zm00001d027321,1,2887895,1.51152,0.21908,9.05E-04,1.51152,0.21908,NaN,NaN,1,2.32201,1668,1.5362,1,2.32201,13
logit_germ,Zm00001d027324,1,2959756,0.02105,0.88466,1.26E-05,0.02105,0.88466,NaN,NaN,1,0.03237,1668,1.53758,1,0.03237,7
